,id,name,neighbourhood,latitude,longitude,room_type,calculated_host_listings_count,license
61,1857302,"Bedroom in The""Club House"", a Victorian in S.Jose",San Jose,37.3308,-121.87893,Private room,2,
62,1870059,La Casita by SJ Convention Ctr.,San Jose,37.3308,-121.87893,Entire home/apt,2,
63,1879601,Los Gatos Furnished Corporate/Easy to move into,Unincorporated Areas,37.23983,-121.99808,Entire home/apt,2,
64,1892611,"Upstairs room, private bathroom, gym",Cupertino,37.33488,-122.02491,Private room,1,
65,315339,Saratoga Silicon Valley  Victorian,Saratoga,37.25092,-122.03673,Entire home/apt,1,
66,3334410,"Gorgeous, comfortable two bedroom Suite",Palo Alto,37.43173,-122.15311,Entire home/apt,1,
67,363117,SanJose/Campbell/Interns & Travelers Welcome (MBR),San Jose,37.27686,-121.91401,Private room,3,
68,1926272,"Best of the Row, 2000sf Terrace Villa —Happy Home",San Jose,37.32278,-121.9473,Entire home/apt,1,
69,1950761,Work from Home: Clean + Vaccinated + Food provided,San Jose,37.29905,-121.97117,Shared room,14,
70,3339021,Studio Cottage in a Lovely Garden,Mountain View,37.39252,-122.06464,Entire home/apt,1,
71,1959776,"545 #3 1bdrm/1bth,dwntwn,hardwd,A/C",Palo Alto,37.44836,-122.15565,Entire home/apt,28,
72,1985054,The Lavender House,Unincorporated Areas,37.15116,-121.98852,Entire home/apt,2,
73,373628,Serene Suite in a Grand Villa~Exceptional Privacy.,Saratoga,37.2455,-122.01798,Private room,4,
74,3344696,Cute & clean violet room,San Jose,37.26835,-121.84965,Private room,3,
75,373730,Spacious Sunny Room in Sweet Home,Palo Alto,37.41783,-122.13384,Private room,1,
76,2000765,"Comfy room with hot-tub, pool, near SJC & SAP",San Jose,37.32815,-121.90783,Private room,3,
77,3395770,Charming Ranch House,Sunnyvale,37.39404,-122.0211,Entire home/apt,1,
78,2045313,Amazing Views from 1.5 acre Los Altos Hills estate,Los Altos Hills,37.3548,-122.12281,Entire home/apt,1,
79,2046601,Efficient Room for stay in house!,Sunnyvale,37.39125,-122.03067,Private room,3,2021-7768
80,2057269,"Peaceful 3BD/2BA Home, Heart of Silicon Valley",San Jose,37.34286,-121.87072,Entire home/apt,1,
81,456783,Mountain View Delight,Mountain View,37.40367,-122.10572,Entire home/apt,1,
82,3447088,"Charming+Spacious in Rose Garden area, Central SJ",San Jose,37.32628,-121.91622,Entire home/apt,1,
83,480365,A RARE CLASSIC IN DOWNTOWN SAN JOSE,San Jose,37.32255,-121.88473,Entire home/apt,7,
84,497579,SanJose-Interns/Transplants -Short term room (CBR),San Jose,37.27641,-121.91401,Private room,3,
85,2096985,Old Downtown Palo Alto to Stanford Campus,Palo Alto,37.42674,-122.14291,Private room,1,
86,2102840,Lovely 1Bd/1Bt in premium North San Jose Location,San Jose,37.3996,-121.92298,Entire home/apt,1,
87,2111028,"Craftsman, Palo Alto 4-5 bedrooms, 3 full baths.",Palo Alto,37.44176,-122.15485,Entire home/apt,1,
88,2150859,HackerHome - Downtown Mountain View: Castro Street,Mountain View,37.3948,-122.08061,Shared room,37,
89,2155694,Long-term Stay: Clean + Vaccinated + Food Provided,San Jose,37.29905,-121.97117,Shared room,14,
90,2155740,Long-term Stay: Clean + Vaccinated + Food Provided,San Jose,37.29905,-121.97117,Shared room,14,
91,2156691,HackerHome - San Jose: private room,San Jose,37.34633,-121.88808,Private room,37,
92,3449103,Eichler House - Private Room 2,Sunnyvale,37.35895,-122.03895,Private room,1,
93,2170740,Luxe 4bd/3bth w/Gr8View/Lgdeck/Hottub/Billiard&gym,San Jose,37.36724,-121.79499,Entire home/apt,1,
94,2172362,HackerHome - Mountain View: Castro4,Mountain View,37.39692,-122.0808,Shared room,37,
95,2183797,"Lemon Tree Cottage, central silicon valley",San Jose,37.29784,-121.9767,Entire home/apt,1,
96,2197461,Sunny Modern Home in Palo Alto,Palo Alto,37.42579,-122.12684,Private room,1,
97,527119,Spacious and bright master suite in Los Altos.,Los Altos,37.3775,-122.10433,Private room,1,
98,3523285,HackerHome - Mountain View - dwtn 3,Mountain View,37.39432,-122.08256,Shared room,37,
99,529161,"Comfy, Cozy & Affordable 1-San Jose",San Jose,37.40174,-121.82812,Private room,2,
100,2199542,Cozy & private 1br cottage in Silicon Valley,Sunnyvale,37.36928321,-122.0333078,Entire home/apt,1,2022-7519
101,2217061,Xtra,San Jose,37.29905,-121.97117,Shared room,14,
102,3544603,50's Craftsman in Downtown San Jose,San Jose,37.34625,-121.89165,Entire home/apt,1,
103,3550391,Sleeps 2- San Jose CA Silicon Valley Comfy Private,San Jose,37.31422,-121.79104,Entire home/apt,2,
104,2226722,"Executive garden apt. walk downtn,",Mountain View,37.39507,-122.08881,Entire home/apt,5,
105,2235281,LIGHT BRIGHT CLEAN  KING BED DOWNTOWN VICTORIAN,Campbell,37.28914,-121.94372,Entire home/apt,2,
106,554085,Travelers/Interns Welcome-Short/Mid term (Atr),San Jose,37.27668381,-121.9143372,Private room,3,
107,564669,Exceptionally Private and Serene- Private  Entry.,Saratoga,37.24524,-122.01884,Private room,4,
108,3554692,Bedroom in Beautiful Remodeled Home,San Jose,37.34319,-121.92577,Private room,13,
109,583413,HackerHome - Santa Clara: shared room,Santa Clara,37.35673,-121.98572,Shared room,37,
110,2241035,Best Deal-Rivermark-Santa Clara!,Santa Clara,37.39531,-121.94224,Private room,1,
111,2268571,Vaccinated Engineers & Interns: FREE Food & Clean,San Jose,37.29905,-121.97117,Shared room,14,
112,2268664,Female Only Room:  Clean + Vaccinated + Food Plan,San Jose,37.29905,-121.97117,Shared room,14,
113,2268672,Vaccinated Engineers & Interns: Unlim Food & Clean,San Jose,37.29905,-121.97117,Shared room,14,
114,3645832,master bedroom suite in a house,Santa Clara,37.33092,-121.95511,Private room,1,
115,2274878,REMOTE WORK+RELAX @ VINEYARD CASITA ON 10AC RANCH,Unincorporated Areas,36.9656,-121.38054,Entire home/apt,2,
116,2305412,Luxury Condo DwnTwn SJ SAP/Caltrain,San Jose,37.32249,-121.90355,Entire home/apt,1,
117,583671,HackerHome - Santa Clara: bunk 1,Santa Clara,37.35934,-121.9799,Shared room,37,
118,583680,HackerHome - Santa Clara: shared room,Santa Clara,37.35653,-121.9833,Shared room,37,
119,3654787,Palo Alto Garden Cottage,Palo Alto,37.43081,-122.14919,Entire home/apt,1,
120,598609,"Walk Dwtwn, organic home comfortable queen bed",Mountain View,37.39336,-122.09194,Private room,5,
121,2328846,Nice Cupertino Area Condo- EZ access to everywhere,San Jose,37.29942,-122.03159,Entire home/apt,1,
122,2374778,Private & quiet Studio,Palo Alto,37.42949,-122.13573,Entire home/apt,1,
123,2386717,"Vaccinated, 30% Discount/mo, Unlimited Food, Clean",San Jose,37.29905,-121.97117,Shared room,14,
124,3657216,Historic Downtown Mtn View Home,Mountain View,37.39215,-122.08223,Entire home/apt,7,
125,2396703,Cozy Cottage in Los Gatos,Los Gatos,37.25805,-121.97891,Entire home/apt,1,
126,2405200,"Amazing Views, Gated, Large Tuscan",Milpitas,37.45905,-121.87938,Private room,1,
127,2442012,Tv/Clean/queen/private shower near Apple/kaiser,Santa Clara,37.33917,-121.98857,Private room,1,
128,2448151,MR1: Fantastic San Jose 3 bdrm,San Jose,37.38266,-121.88601,Entire home/apt,33,
129,2448155,Private room in North San Jose !,San Jose,37.38458,-121.85615,Private room,2,
130,600955,Walk Dwntwn queen bed Organic Home,Mountain View,37.39293,-122.0904,Private room,5,
131,616725,HackerHome - Santa Clara: shared room,Santa Clara,37.35827,-121.98231,Shared room,37,
132,661548,HackerHome - Santa Clara: private room,Santa Clara,37.35487,-121.97975,Private room,37,
133,3667097,Large home w/central AC  near Kaiser/280/Lawrence,Santa Clara,37.32942,-121.99618,Entire home/apt,12,
134,2477141,5 Star Loft in Santana Row!,San Jose,37.32192,-121.94663,Entire home/apt,1,
135,3706161,"QUIET Santana Row Condo Super Host, Silicon Valley",San Jose,37.32282,-121.9464,Entire home/apt,2,
136,2496109,"Silicon Valley ""Farm House""",San Jose,37.24772,-121.88601,Entire home/apt,1,
137,2500968,Work from Home: Clean + Vaccinated + Food Provided,San Jose,37.29905,-121.97117,Shared room,14,
138,2508656,Peaceful Room Los Gatos  Home,Los Gatos,37.24659,-121.95995,Private room,2,
139,2513061,Bright room overlooking the hills,Los Altos,37.35859,-122.08142,Private room,7,
140,2515292,Home away from home in Santa Clara,Santa Clara,37.33029,-121.99394,Entire home/apt,2,
141,2515500,Your Home in Silicon Valley,Los Altos,37.36022,-122.07949,Entire home/apt,7,
142,706286,Cozy Sunnyvale Condo with in-unit washer & dryer,Sunnyvale,37.35353,-122.01123,Entire home/apt,1,
143,3758972,Just 2.8 miles from Levi's Stadium!,San Jose,37.40607,-121.93222,Entire home/apt,1,
144,725538,Apartment in downtown SJ,San Jose,37.34776,-121.87345,Entire home/apt,1,
145,2547455,Beautiful Home with Hot Tub on quiet court,Los Altos,37.3934,-122.10253,Entire home/apt,2,
146,2554048,Cozy bedroom with morning light,Los Altos,37.36028,-122.08113,Private room,7,
147,2554084,Cheerfully decorated master bedroom/private bath,Los Altos,37.35847,-122.08089,Private room,7,
148,2632537,Iris House: Garden room - dwntn Palo Alto/Stanford,Palo Alto,37.44346,-122.14858,Private room,5,
149,2670018,HackerHome - female only shared room 1,Mountain View,37.39522,-122.08064,Shared room,37,
150,2672540,Ladybug Studio in Mountain View,Mountain View,37.39608,-122.08848,Entire home/apt,6,
151,3766480,Charming Los Gatos Cottage B,Los Gatos,37.22439,-121.96931,Entire home/apt,3,
152,2676760,Single room,Palo Alto,37.43655,-122.11712,Private room,1,
153,2687540,,San Jose,37.40788,-121.84793,Private room,1,
154,2772985,HackerHome - Mountain View - shared room,Mountain View,37.39392,-122.08219,Shared room,37,
155,2805569,Private room in Cupertino!,San Jose,37.29949,-122.0319,Private room,3,
156,727926,Private Room with bath in Palo Alto,Palo Alto,37.41686,-122.11568,Private room,1,
157,743215,Little Paradise with Sauna Garden near Downtown,Saratoga,37.2640686,-122.0356674,Entire home/apt,1,
158,3792482,Rustic Elegance Retreat!,Los Gatos,37.23962,-121.98401,Private room,1,
159,743260,Silicon Valley Furnished Studio,Santa Clara,37.3438,-121.98809,Entire home/apt,12,
160,2809199,Luxury 3 bd Business/Vacation in Rivermark,Santa Clara,37.4,-121.95437,Entire home/apt,2,
161,2819517,HackerHome - Mountain View Caltrain,Mountain View,37.39413,-122.08044,Shared room,37,
162,4925118,Work or Play in Deluxe Santa Clara Executive Home with Pool,Santa Clara,37.34482,-121.99048,Entire home/apt,1,
163,3821482,The Bangalore House & Oasis @ SJC,San Jose,37.34036,-121.92688,Private room,1,
164,4987979,Zen Cul-de-Sac Private Room,Mountain View,37.39467,-122.06707,Private room,3,
165,743286,Mozart  Luxurious Master Room,San Jose,37.27113,-121.8097,Private room,3,
166,3821766,Private Entry near Stanford & G00gle,Los Altos,37.39203,-122.10567,Entire home/apt,2,
167,764019,Vintage comfort in Palo Alto,Palo Alto,37.41981,-122.13183,Private room,3,
168,4999136,Private Room San Jose/Los Gatos & Tree House,San Jose,37.2497,-121.94919,Private room,2,
169,3828638,"Cozy studio w/patio, kitchenette",Los Altos,37.36042,-122.07995,Entire home/apt,7,
170,5008287,Private Room and Private Bath Room,Santa Clara,37.34661,-121.93107,Private room,1,
171,765427,Downtown Mtn View Private Home with Hot Tub,Mountain View,37.39212,-122.07555,Entire home/apt,7,
172,3869637,Luxury Townhouse MV 3BR/4BA,Mountain View,37.38475,-122.05746,Entire home/apt,1,
173,786226,Charming 1BR 5min. to Gbus,Mountain View,37.3829,-122.08405,Entire home/apt,12,
174,5020651,Modern Bedroom in Silicon Valley,Mountain View,37.40086,-122.09865,Private room,2,
175,3897960,Mid-Century Modern One Bedroom Apartment,San Jose,37.40065,-121.92307,Entire home/apt,1,
176,5056639,Nice private room  with queen bed in a clean home,Santa Clara,37.40072,-121.96634,Private room,5,
177,791279,Palo Alto Cottage,Palo Alto,37.43318,-122.15295,Entire home/apt,2,
178,3917492,Comfortable room with pool view,Los Altos,37.35823,-122.07976,Private room,7,
179,842171,"Executive Downtwn Contemporary 2BR Groundfloor
Apt",Mountain View,37.39311,-122.08859,Entire home/apt,5,
180,844336,Executive walk Downtown MV Queen  B,Mountain View,37.3952,-122.08896,Private room,5,
181,5093865,Private Room & Private bathoom,Campbell,37.27099,-121.96225,Private room,1,
182,3938025,Comfort Style & Location lives here,Santa Clara,37.39735,-121.95734,Entire home/apt,2,
183,5106391,Coroporate Housing*AC*Walk2Target*Central in SV,Santa Clara,37.35218,-121.96522,Entire home/apt,2,
184,859052,Middle of everywhere,Mountain View,37.40925,-122.08766,Entire home/apt,5,
185,877625,2BR/1 Ba - Near El Camino Hosp at 85/El Camino/237,Mountain View,37.37566,-122.06293,Entire home/apt,12,
186,4015250,Mountain View Pied-a-Terre,Mountain View,37.38961,-122.09988,Entire home/apt,1,
187,881146,Modern Downtown Los Gatos Apartment,Los Gatos,37.22075,-121.97667,Entire home/apt,1,
188,5121988,Separate entry-private suite & full bath #1,Santa Clara,37.40011,-121.96753,Private room,5,
189,4052133,Hostel 4~business travelers on a tight budget,Sunnyvale,37.38257,-122.01976,Private room,32,2017-7717
190,5231307,1 bedroom in-law unit,Saratoga,37.2846,-122.01946,Entire home/apt,1,
191,890904,HackerHome - Sunnyvale Private Room,Sunnyvale,37.38697,-122.02669,Private room,37,
192,890914,HackerHome - Santa Clara: bunk 1a,Sunnyvale,37.38683,-122.02494,Shared room,37,
193,4076753,Charming studio cottage in garden,San Jose,37.29738,-121.97603,Private room,1,
194,913205,Best for International visitor,Morgan Hill,37.1338,-121.66622,Private room,1,
195,5329995,(1) Cozy Private Bedroom in Mt View! Clean & Safe!,Mountain View,37.38213,-122.07138,Private room,7,
196,4077762,•••Sunny spacious BR by Mt. View Googl•••,Los Altos,37.39374,-122.10932,Private room,3,
197,5335433,"Private Suite in Quaint Victorian Santa Clara, CA",Santa Clara,37.3431,-121.95197,Private room,1,
198,5395511,The Groove Pad,Palo Alto,37.42039,-122.13255,Private room,3,
199,922716,2nd Floor Private Bedroom I,Palo Alto,37.4061,-122.12403,Private room,3,
200,931680,HackerHome - Sunnyvale: bunk 2,Sunnyvale,37.3864,-122.02437,Shared room,37,
